#input, Strategy, Shape Filter, Container Height, Rotations Allowed, Number of rectangles, Input sorted, Fill rate, # Mutations
16, SimulatedAnnealing, None, 23, true, 10, -, 0.9001976, 800
17, SimulatedAnnealing, None, 37, false, 10, -, 0.6490515, 100
17, SimulatedAnnealing, None, 37, false, 10, -, 0.6490515, 200
17, SimulatedAnnealing, None, 37, false, 10, -, 0.63150954, 300
17, SimulatedAnnealing, None, 37, false, 10, -, 0.6490515, 400
17, SimulatedAnnealing, None, 37, false, 10, -, 0.6490515, 500
17, SimulatedAnnealing, None, 37, false, 10, -, 0.63150954, 600
17, SimulatedAnnealing, None, 37, false, 10, -, 0.6490515, 700
17, SimulatedAnnealing, None, 37, false, 10, -, 0.6490515, 800
18, SimulatedAnnealing, None, 121, true, 10, -, 0.89650977, 100
18, SimulatedAnnealing, None, 121, true, 10, -, 0.89650977, 200
18, SimulatedAnnealing, None, 121, true, 10, -, 0.88144237, 300
18, SimulatedAnnealing, None, 121, true, 10, -, 0.92583483, 400
18, SimulatedAnnealing, None, 121, true, 10, -, 0.87872183, 500
18, SimulatedAnnealing, None, 121, true, 10, -, 0.90005845, 600
18, SimulatedAnnealing, None, 121, true, 10, -, 0.89650977, 700
18, SimulatedAnnealing, None, 121, true, 10, -, 0.90005845, 800
19, SimulatedAnnealing, None, 179, false, 10, -, 0.8326932, 100
19, SimulatedAnnealing, None, 179, false, 10, -, 0.8326932, 200
19, SimulatedAnnealing, None, 179, false, 10, -, 0.8326932, 300
19, SimulatedAnnealing, None, 179, false, 10, -, 0.8326932, 400
19, SimulatedAnnealing, None, 179, false, 10, -, 0.8326932, 500
19, SimulatedAnnealing, None, 179, false, 10, -, 0.8326932, 600
19, SimulatedAnnealing, None, 179, false, 10, -, 0.8326932, 700
19, SimulatedAnnealing, None, 179, false, 10, -, 0.8326932, 800
20, SimulatedAnnealing, None, 133, false, 25, -, 0.83538246, 100
20, SimulatedAnnealing, None, 133, false, 25, -, 0.8227132, 200
20, SimulatedAnnealing, None, 133, false, 25, -, 0.82425815, 300
20, SimulatedAnnealing, None, 133, false, 25, -, 0.823482, 400
20, SimulatedAnnealing, None, 133, false, 25, -, 0.8443214, 500
20, SimulatedAnnealing, None, 133, false, 25, -, 0.82659537, 600
20, SimulatedAnnealing, None, 133, false, 25, -, 0.8344827, 700
20, SimulatedAnnealing, None, 133, false, 25, -, 0.8764501, 800
21, SimulatedAnnealing, None, 37, false, 10, -, 0.9085628, 100
21, SimulatedAnnealing, None, 37, false, 10, -, 0.9085628, 200
21, SimulatedAnnealing, None, 37, false, 10, -, 0.9085628, 300
21, SimulatedAnnealing, None, 37, false, 10, -, 0.9085628, 400
21, SimulatedAnnealing, None, 37, false, 10, -, 0.9085628, 500
21, SimulatedAnnealing, None, 37, false, 10, -, 0.9085628, 600
21, SimulatedAnnealing, None, 37, false, 10, -, 0.9085628, 700
21, SimulatedAnnealing, None, 37, false, 10, -, 0.9085628, 800
22, SimulatedAnnealing, None, 24, true, 25, -, 0.8772401, 100
22, SimulatedAnnealing, None, 24, true, 25, -, 0.85427576, 200
22, SimulatedAnnealing, None, 24, true, 25, -, 0.8633157, 300
22, SimulatedAnnealing, None, 24, true, 25, -, 0.8679078, 400
22, SimulatedAnnealing, None, 24, true, 25, -, 0.85427576, 500
22, SimulatedAnnealing, None, 24, true, 25, -, 0.8679078, 600
22, SimulatedAnnealing, None, 24, true, 25, -, 0.8633157, 700
22, SimulatedAnnealing, None, 24, true, 25, -, 0.8587719, 800
23, SimulatedAnnealing, None, 14, true, 10, -, 0.87532467, 100
23, SimulatedAnnealing, None, 14, true, 10, -, 0.87532467, 200
23, SimulatedAnnealing, None, 14, true, 10, -, 0.87532467, 300
23, SimulatedAnnealing, None, 14, true, 10, -, 0.87532467, 400
23, SimulatedAnnealing, None, 14, true, 10, -, 0.87532467, 500
23, SimulatedAnnealing, None, 14, true, 10, -, 0.87532467, 600
23, SimulatedAnnealing, None, 14, true, 10, -, 0.87532467, 700
23, SimulatedAnnealing, None, 14, true, 10, -, 0.94265735, 800
24, SimulatedAnnealing, None, 87, false, 25, -, 0.82267934, 100
24, SimulatedAnnealing, None, 87, false, 25, -, 0.8130814, 200
24, SimulatedAnnealing, None, 87, false, 25, -, 0.8382282, 300
24, SimulatedAnnealing, None, 87, false, 25, -, 0.83943576, 400
24, SimulatedAnnealing, None, 87, false, 25, -, 0.8296749, 500
24, SimulatedAnnealing, None, 87, false, 25, -, 0.8103801, 600
24, SimulatedAnnealing, None, 87, false, 25, -, 0.78926575, 700
24, SimulatedAnnealing, None, 87, false, 25, -, 0.7879761, 800
25, SimulatedAnnealing, None, 97, true, 25, -, 0.8483285, 100
25, SimulatedAnnealing, None, 97, true, 25, -, 0.8444927, 200
25, SimulatedAnnealing, None, 97, true, 25, -, 0.8532895, 300
25, SimulatedAnnealing, None, 97, true, 25, -, 0.82810724, 400
25, SimulatedAnnealing, None, 97, true, 25, -, 0.8444927, 500
25, SimulatedAnnealing, None, 97, true, 25, -, 0.85629404, 600
25, SimulatedAnnealing, None, 97, true, 25, -, 0.83665425, 700
25, SimulatedAnnealing, None, 97, true, 25, -, 0.8347397, 800
26, SimulatedAnnealing, None, 135, true, 25, -, 0.8492021, 100
26, SimulatedAnnealing, None, 135, true, 25, -, 0.8406946, 200
26, SimulatedAnnealing, None, 135, true, 25, -, 0.8483278, 300
26, SimulatedAnnealing, None, 135, true, 25, -, 0.84126496, 400
26, SimulatedAnnealing, None, 135, true, 25, -, 0.87912637, 500
26, SimulatedAnnealing, None, 135, true, 25, -, 0.85631585, 600
26, SimulatedAnnealing, None, 135, true, 25, -, 0.84608865, 700
26, SimulatedAnnealing, None, 135, true, 25, -, 0.8543077, 800
27, SimulatedAnnealing, None, 21, false, 25, -, 0.8471487, 100
27, SimulatedAnnealing, None, 21, false, 25, -, 0.8471487, 200
27, SimulatedAnnealing, None, 21, false, 25, -, 0.8471487, 300
27, SimulatedAnnealing, None, 21, false, 25, -, 0.8471487, 400
27, SimulatedAnnealing, None, 21, false, 25, -, 0.8471487, 500
27, SimulatedAnnealing, None, 21, false, 25, -, 0.8471487, 600
27, SimulatedAnnealing, None, 21, false, 25, -, 0.8471487, 700
27, SimulatedAnnealing, None, 21, false, 25, -, 0.8471487, 800
28, SimulatedAnnealing, None, 200, true, 10, -, 0.8964556, 100
28, SimulatedAnnealing, None, 200, true, 10, -, 0.87795717, 200
28, SimulatedAnnealing, None, 200, true, 10, -, 0.87054825, 300
28, SimulatedAnnealing, None, 200, true, 10, -, 0.8735674, 400
28, SimulatedAnnealing, None, 200, true, 10, -, 0.87054825, 500
28, SimulatedAnnealing, None, 200, true, 10, -, 0.89930934, 600
28, SimulatedAnnealing, None, 200, true, 10, -, 0.87233, 700
28, SimulatedAnnealing, None, 200, true, 10, -, 0.88263154, 800
29, SimulatedAnnealing, None, 20, false, 25, -, 0.8638298, 100
29, SimulatedAnnealing, None, 20, false, 25, -, 0.87625897, 200
29, SimulatedAnnealing, None, 20, false, 25, -, 0.8638298, 300
29, SimulatedAnnealing, None, 20, false, 25, -, 0.87625897, 400
29, SimulatedAnnealing, None, 20, false, 25, -, 0.8638298, 500
29, SimulatedAnnealing, None, 20, false, 25, -, 0.8517482, 600
29, SimulatedAnnealing, None, 20, false, 25, -, 0.8577465, 700
29, SimulatedAnnealing, None, 20, false, 25, -, 0.87, 800
30, SimulatedAnnealing, None, 166, false, 25, -, 0.83968294, 100
30, SimulatedAnnealing, None, 166, false, 25, -, 0.8286617, 200
30, SimulatedAnnealing, None, 166, false, 25, -, 0.8362074, 300
30, SimulatedAnnealing, None, 166, false, 25, -, 0.86931026, 400
30, SimulatedAnnealing, None, 166, false, 25, -, 0.8327606, 500
30, SimulatedAnnealing, None, 166, false, 25, -, 0.8389855, 600
30, SimulatedAnnealing, None, 166, false, 25, -, 0.8266273, 700
30, SimulatedAnnealing, None, 166, false, 25, -, 0.8327606, 800
31, SimulatedAnnealing, None, 110, false, 25, -, 0.8319162, 100
31, SimulatedAnnealing, None, 110, false, 25, -, 0.82967985, 200
31, SimulatedAnnealing, None, 110, false, 25, -, 0.84869885, 300
31, SimulatedAnnealing, None, 110, false, 25, -, 0.85733587, 400
31, SimulatedAnnealing, None, 110, false, 25, -, 0.8219465, 500
31, SimulatedAnnealing, None, 110, false, 25, -, 0.84618163, 600
31, SimulatedAnnealing, None, 110, false, 25, -, 0.8375601, 700
31, SimulatedAnnealing, None, 110, false, 25, -, 0.83303887, 800
32, SimulatedAnnealing, None, 71, false, 25, -, 0.85323644, 100
32, SimulatedAnnealing, None, 71, false, 25, -, 0.8654255, 200
32, SimulatedAnnealing, None, 71, false, 25, -, 0.8420391, 300
32, SimulatedAnnealing, None, 71, false, 25, -, 0.8647356, 400
32, SimulatedAnnealing, None, 71, false, 25, -, 0.848722, 500
32, SimulatedAnnealing, None, 71, false, 25, -, 0.8710183, 600
32, SimulatedAnnealing, None, 71, false, 25, -, 0.8577992, 700
32, SimulatedAnnealing, None, 71, false, 25, -, 0.8932549, 800
33, SimulatedAnnealing, None, 25, true, 10, -, 0.8921053, 100
33, SimulatedAnnealing, None, 25, true, 10, -, 0.8921053, 200
33, SimulatedAnnealing, None, 25, true, 10, -, 0.8921053, 300
33, SimulatedAnnealing, None, 25, true, 10, -, 0.8921053, 400
33, SimulatedAnnealing, None, 25, true, 10, -, 0.8921053, 500
33, SimulatedAnnealing, None, 25, true, 10, -, 0.8921053, 600
33, SimulatedAnnealing, None, 25, true, 10, -, 0.8921053, 700
33, SimulatedAnnealing, None, 25, true, 10, -, 0.8921053, 800
34, SimulatedAnnealing, None, 3, false, 10, -, 0.7777778, 100
34, SimulatedAnnealing, None, 3, false, 10, -, 0.7777778, 200
34, SimulatedAnnealing, None, 3, false, 10, -, 0.7777778, 300
34, SimulatedAnnealing, None, 3, false, 10, -, 0.7777778, 400
34, SimulatedAnnealing, None, 3, false, 10, -, 0.7777778, 500
34, SimulatedAnnealing, None, 3, false, 10, -, 0.7777778, 600
34, SimulatedAnnealing, None, 3, false, 10, -, 0.7777778, 700
34, SimulatedAnnealing, None, 3, false, 10, -, 0.7777778, 800
35, SimulatedAnnealing, None, 105, false, 10, -, 0.89954484, 100
35, SimulatedAnnealing, None, 105, false, 10, -, 0.89954484, 200
35, SimulatedAnnealing, None, 105, false, 10, -, 0.89954484, 300
35, SimulatedAnnealing, None, 105, false, 10, -, 0.89954484, 400
35, SimulatedAnnealing, None, 105, false, 10, -, 0.89954484, 500
35, SimulatedAnnealing, None, 105, false, 10, -, 0.89954484, 600
35, SimulatedAnnealing, None, 105, false, 10, -, 0.89954484, 700
35, SimulatedAnnealing, None, 105, false, 10, -, 0.89954484, 800
36, SimulatedAnnealing, None, 143, false, 25, -, 0.75306576, 100
36, SimulatedAnnealing, None, 143, false, 25, -, 0.758369, 200
36, SimulatedAnnealing, None, 143, false, 25, -, 0.758369, 300
36, SimulatedAnnealing, None, 143, false, 25, -, 0.758369, 400
36, SimulatedAnnealing, None, 143, false, 25, -, 0.758369, 500
36, SimulatedAnnealing, None, 143, false, 25, -, 0.75306576, 600
36, SimulatedAnnealing, None, 143, false, 25, -, 0.758369, 700
36, SimulatedAnnealing, None, 143, false, 25, -, 0.758369, 800
37, SimulatedAnnealing, None, 120, true, 10, -, 0.9230836, 100
37, SimulatedAnnealing, None, 120, true, 10, -, 0.8890101, 200
37, SimulatedAnnealing, None, 120, true, 10, -, 0.919506, 300
37, SimulatedAnnealing, None, 120, true, 10, -, 0.92439884, 400
37, SimulatedAnnealing, None, 120, true, 10, -, 0.8950673, 500
37, SimulatedAnnealing, None, 120, true, 10, -, 0.89648074, 600
37, SimulatedAnnealing, None, 120, true, 10, -, 0.91353446, 700
37, SimulatedAnnealing, None, 120, true, 10, -, 0.90110546, 800
38, SimulatedAnnealing, None, 190, true, 25, -, 0.8563038, 100
38, SimulatedAnnealing, None, 190, true, 25, -, 0.8399833, 200
38, SimulatedAnnealing, None, 190, true, 25, -, 0.8263702, 300
38, SimulatedAnnealing, None, 190, true, 25, -, 0.84431356, 400
38, SimulatedAnnealing, None, 190, true, 25, -, 0.83844346, 500
38, SimulatedAnnealing, None, 190, true, 25, -, 0.8482728, 600
38, SimulatedAnnealing, None, 190, true, 25, -, 0.84778374, 700
38, SimulatedAnnealing, None, 190, true, 25, -, 0.8263702, 800
39, SimulatedAnnealing, None, 133, false, 25, -, 0.86008096, 100
39, SimulatedAnnealing, None, 133, false, 25, -, 0.86528724, 200
39, SimulatedAnnealing, None, 133, false, 25, -, 0.87859935, 300
39, SimulatedAnnealing, None, 133, false, 25, -, 0.8508658, 400
39, SimulatedAnnealing, None, 133, false, 25, -, 0.8474951, 500
39, SimulatedAnnealing, None, 133, false, 25, -, 0.87720245, 600
39, SimulatedAnnealing, None, 133, false, 25, -, 0.8856596, 700
39, SimulatedAnnealing, None, 133, false, 25, -, 0.85361415, 800
40, SimulatedAnnealing, None, 81, false, 10, -, 0.78832936, 100
40, SimulatedAnnealing, None, 81, false, 10, -, 0.78832936, 200
40, SimulatedAnnealing, None, 81, false, 10, -, 0.78832936, 300
40, SimulatedAnnealing, None, 81, false, 10, -, 0.78832936, 400
40, SimulatedAnnealing, None, 81, false, 10, -, 0.78832936, 500
40, SimulatedAnnealing, None, 81, false, 10, -, 0.78832936, 600
40, SimulatedAnnealing, None, 81, false, 10, -, 0.78832936, 700
40, SimulatedAnnealing, None, 81, false, 10, -, 0.78832936, 800
41, SimulatedAnnealing, None, 87, false, 10, -, 0.8355293, 100
41, SimulatedAnnealing, None, 87, false, 10, -, 0.8259256, 200
41, SimulatedAnnealing, None, 87, false, 10, -, 0.8259256, 300
41, SimulatedAnnealing, None, 87, false, 10, -, 0.8355293, 400
41, SimulatedAnnealing, None, 87, false, 10, -, 0.8259256, 500
41, SimulatedAnnealing, None, 87, false, 10, -, 0.8259256, 600
41, SimulatedAnnealing, None, 87, false, 10, -, 0.8355293, 700
41, SimulatedAnnealing, None, 87, false, 10, -, 0.8355293, 800
42, SimulatedAnnealing, None, 128, true, 25, -, 0.83125013, 100
42, SimulatedAnnealing, None, 128, true, 25, -, 0.8474738, 200
42, SimulatedAnnealing, None, 128, true, 25, -, 0.8315401, 300
42, SimulatedAnnealing, None, 128, true, 25, -, 0.8384368, 400
42, SimulatedAnnealing, None, 128, true, 25, -, 0.8377156, 500
42, SimulatedAnnealing, None, 128, true, 25, -, 0.8315401, 600
42, SimulatedAnnealing, None, 128, true, 25, -, 0.83492804, 700
42, SimulatedAnnealing, None, 128, true, 25, -, 0.8264341, 800
